      C01      C02      C03      C04      C05      C06      C07      C08      C09      C10      C11      C12      C13      C14      C31      C32      C33      C34                                                                                                                                                                                                                                              
  46.0729  41.3621  55.8880  30.3514  20.7330        0  69.3399  79.0495        0  83.1698        0        0  54.4829        0  68.9833  77.5575        0        0                                                                                                                                                                                                                                              
  46.0712  41.3653  55.8890  30.3511  20.7360        0  69.2725  78.9979        0  83.2037        0        0  54.5154        0  69.0614  77.4421        0        0                                                                                                                                                                                                                                              
  46.0694  41.3685  55.8899  30.3508  20.7389        0  69.2046  78.9455        0  83.2360        0        0  54.5475        0  69.1396  77.3264        0        0                                                                                                                                                                                                                                              
  46.0677  41.3717  55.8908  30.3505  20.7419        0  69.1363  78.8923        0  83.2667        0        0  54.5793        0  69.2180  77.2105        0        0                                                                                                                                                                                                                                              
  46.0659  41.3748  55.8918  30.3503  20.7448        0  69.0675  78.8385        0  83.2957        0        0  54.6107        0  69.2965  77.0943        0        0                                                                                                                                                                                                                                              
  46.0642  41.3780  55.8927  30.3500  20.7478        0  68.9983  78.7840        0  83.3230        0        0  54.6419        0  69.3753  76.9778        0        0                                                                                                                                                                                                                                              
  46.0624  41.3812  55.8936  30.3497  20.7507        0  68.9286  78.7288        0  83.3486        0        0  54.6727        0  69.4543  76.8611        0        0                                                                                                                                                                                                                                              
  46.0606  41.3844  55.8945  30.3494  20.7537        0  68.8585  78.6730        0  83.3725        0        0  54.7031        0  69.5334  76.7442        0        0                                                                                                                                                                                                                                              
  46.0588  41.3876  55.8953  30.3490  20.7567        0  68.7880  78.6165        0  83.3945        0        0  54.7332        0  69.6127  76.6270        0        0                                                                                                                                                                                                                                              
  46.0571  41.3907  55.8962  30.3487  20.7596        0  68.7170  78.5594        0  83.4148        0        0  54.7630        0  69.6922  76.5095        0        0                                                                                                                                                                                                                                              
  46.0553  41.3939  55.8971  30.3484  20.7626        0  68.6456  78.5016        0  83.4332        0        0  54.7925        0  69.7718  76.3919        0        0                                                                                                                                                                                                                                              
  46.0535  41.3971  55.8980  30.3481  20.7655        0  68.5738  78.4433        0  83.4498        0        0  54.8216        0  69.8517  76.2740        0        0                                                                                                                                                                                                                                              
  46.0517  41.4003  55.8988  30.3478  20.7685        0  68.5015  78.3844        0  83.4645        0        0  54.8504        0  69.9317  76.1559        0        0                                                                                                                                                                                                                                              
  46.0499  41.4035  55.8997  30.3475  20.7715        0  68.4288  78.3249        0  83.4773        0        0  54.8789        0  70.0119  76.0375        0        0                                                                                                                                                                                                                                              
  46.0481  41.4067  55.9005  30.3471  20.7744        0  68.3557  78.2648        0  83.4883        0        0  54.9070        0  70.0923  75.9190        0        0                                                                                                                                                                                                                                              
  46.0463  41.4098  55.9014  30.3468  20.7774        0  68.2822  78.2042        0  83.4973        0        0  54.9348        0  70.1728  75.8002        0        0                                                                                                                                                                                                                                              
  46.0445  41.4130  55.9022  30.3465  20.7803        0  68.2083  78.1431        0  83.5043        0        0  54.9623        0  70.2536  75.6813        0        0                                                                                                                                                                                                                                              
  46.0426  41.4162  55.9030  30.3462  20.7833        0  68.1339  78.0815        0  83.5094        0        0  54.9894        0  70.3345  75.5621        0        0                                                                                                                                                                                                                                              
  46.0408  41.4194  55.9038  30.3458  20.7863        0  68.0592  78.0193        0  83.5126        0        0  55.0162        0  70.4155  75.4427        0        0                                                                                                                                                                                                                                              
  46.0390  41.4226  55.9046  30.3455  20.7892        0  67.9840  77.9567        0  83.5137        0        0  55.0427        0  70.4968  75.3232        0        0                                                                                                                                                                                                                                              
  46.0372  41.4258  55.9054  30.3451  20.7922        0  67.9085  77.8936        0  83.5129        0        0  55.0688        0  70.5782  75.2034        0        0                                                                                                                                                                                                                                              
  46.0353  41.4290  55.9062  30.3448  20.7952        0  67.8325  77.8300        0  83.5101        0        0  55.0946        0  70.6598  75.0835        0        0                                                                                                                                                                                                                                              
  46.0335  41.4321  55.9070  30.3444  20.7981        0  67.7562  77.7660        0  83.5053        0        0  55.1201        0  70.7416  74.9633        0        0                                                                                                                                                                                                                                              
